Name,Mass (g) (not sexed),Source,Sex,Suborder,Handicap,Family,Genus,Species,Shi_match,r_humerus,Landmarked,l_humerus,Landmarked,r_radius,Landmarked,l_radius,Landmarked,r_tibia,Landmarked,l_tibia,Landmarked,r_femur,Landmarked,l_femur,Landmarked,Handwing,skull,Sternum,Landmarked,Verified,Pelvis,Landmarked,Verified,Sex,Lifestage,Notes,Author,kV,uA,um
Emballonura_monticola_CUMV_22543,6,"Walker’s mammals of the world, VI",,,,Emballonuridae,Emballonura,monticola,Emballonura_monticola,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes; moved maniubrium rib landmarks,open; poor quality may need fixing no screenshots,,,M?,adult,"Some minor rotation has made segmentation difficult; the surface texture is quite rough, sternum landmarks located in a .hx files called untitlted in andrew_backup on the NAS",Andrew,100,200,40.076
Leptonycteris curasoae_CUMV_20856,24,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Leptonycteris,curasoae,Leptonycteris_curasoae,1,Yes,,,1,Yes,,,,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes,open; landmarked; right,to do,,?,adult,,Andrew,100,200,40.076
Megaderma lyra CUMV_20794,50,"Walker’s mammals of the world, VI",,,,Megadermatidae,Megaderma,lyra,Megaderma_lyra,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,open; landmarked; right,,,F,adult,right foot two broken toes one of which has healed,Andrew,100,200,40.076
Thyroptera tricolor CUMV 20892,4.2,"Walker’s mammals of the world, VI",,,,Thyropteridae,Thyroptera,tricolor,Thyroptera_tricolor,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,,open; landmarked; left,,,?,adult,Thyroptera is a significant outlier in Handwing PCA it is located on the NAS in bat group 5,Andrew,100,200,40.076
Lasiurus borealis CUMV 22512,10.7,https://eol.org/pages/327563/data,,,,Vespertilionidae,Lasiurus,borealis,Lasiurus_borealis,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,bat group 5,Andrew,100,200,40.076
Emballonura alecto CUMV 22537,5.25,https://eol.org/pages/327832/data,,,,Emballonuridae,Emballonura,alecto,Emballonura_alecto,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,broken,,Yes,,,,,,,,?,adult,bat group 5,Andrew,100,200,40.076
Pteropus gouldi MCZ 28559,672,https://eol.org/pages/327256/data,,,,Pteropodidae,Pteropus,alecto,Pteropus_alecto,,,1,Yes,1,Yes,broken,,1,Yes,,,1,Yes,,,Yes,,1,Yes,Yes; I replaced Sternum_Manubrium_Clavicle_Curve,open,,,F,adult,both radius bones contain shot; the left is definitely broken; spine good; sternum may not be bilaterally symmetric,Andrew,,,
Hipposideros commersoni MCZ 45453,99.1,https://eol.org/pages/290193/data,,,,Hipposideridae,Hipposideros,commersoni,Hipposideros_commersoni,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,1,Yes,,,,,?,adult,Distal radius is patchy; consult isosurface carefully when placing landmarks; also prioritise left wing for handwing landmarks; spine difficult; close to metal plate at base of scan,Andrew,,,
Eonycteris_robusta MCZ 33066,78.36,https://eol.org/pages/4438414/data,,,,Pteropodidae,Eonycteris,robusta,Eonycteris_robusta,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,,,,problem,,,F,adult,spine good; surrounded by duct tape ,Andrew,,,
Pteropus_niger MCZ_4940,456.3,https://eol.org/pages/327282/data,,,,Pteropodidae,Pteropus,niger,Pteropus_niger,,,1,Yes,1,Yes,broken,,,,1,Yes,,,1,Yes,Yes,broken,broken?,,,open,,,F,adult,spine good; scan threshold may pose difficulties ,Andrew,,,
Pteropus samoensis MCZ_58230,,,,,,Pteropodidae,,,,broken,,to start,,broken,,broken,,,,to start,,,,to start,,,,,,,,,,,,spine good,Andrew,,,
Pteropus scapulatus MCZ_28549,443,https://eol.org/pages/327294/data,,,,Pteropodidae,Pteropus,scapulatus,Pteropus_scapulatus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,shot,,,,,,,M,adult,spine good; no knee cap apparent,Andrew,,,
MCZ_14787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juvenile,juvenile; spine good; I am not processing this bat because I need epiphyses,Andrew,,,
Myonycteris angolensis MCZ_50332,68.31,https://eol.org/pages/323423/data,,,,Pteropodidae,Myonycteris,angolensis,Myonycteris_angolensis,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,subadult,spine good; possible callus right wing digit 1 phalanx 2 located in combined folder with 14787 on NAS,Andrew,,,
Cynomops abrasus MCZ_28212,35.39,https://eol.org/pages/328862/data,,,,Molossidae,Cynomops,abrasus,Cynomops_abrasus,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,1,Yes,,open; landmarked; left,,,F,adult,no head; spine good; ,Andrew,,,
Nyctimene aello MCZ 45767,84.3,https://eol.org/pages/1038725/data,,,,Pteropodidae,Nyctimene,aello,Nyctimene_aello,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,M,adult,spine good,Andrew,,,
Epomophorus_wahlbergi MCZ 25179,91.6,https://eol.org/pages/327342/data,,,,Pteropodidae,Epomophorus,wahlbergi,Epomophorus_wahlbergi,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,open,,,F,subadult,subadult; spine good,Andrew,,,
Hipposideros ruber MCZ_19401,10.1,https://eol.org/pages/328266/data,,,,Hipposideridae,Hipposideros,ruber,Hipposideros_ruber,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,,,,,M,adult,"spine good; however may be difficult to segment, and rib articulations are quite extensive ",Andrew,,,
Notopteris macdonaldi MCZ_32941,65.75,"Walker’s mammals of the world, VI",,,,Pteropodidae,Notopteris,macdonaldi,Melonycteris_melanops,,,1,Yes,,,1,Yes,1,Yes,,,1,Yes,,,Yes,,,,,open,,,F,adult,spine good; however- as seems to be typical of bats- the bone density of the vertebral column is not very high ,Andrew,,,
Pteropus scapulatus MCZ_49938,,,,,,Pteropodidae,Pteropus,scapulatus,Pteropus_scapulatus,,,,,,,,,,,,,,,,,,,,,,,,,,embryo,embryo; unfused skull plates,Andrew,,,
Brachyphylla cavernarum MCZ_50113,56,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Brachyphylla,cavernarum,Brachyphylla_cavernarum,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,M,adult,spine good; however- as seems to be typical of bats- the bone density of the vertebral column is not very high ,Andrew,,,
Pteropus_voeltzkowi MCZ_21476,,,,,,Pteropodidae,,,Pteropus_voeltzkowi,,,,,,,,,,,,,,,,,,,,,,,,,,,embryo; spine bad; spinal fusion incomplete,Andrew,,,
Tadarida brasiliensis MCZ_1203,12.5,"Walker’s mammals of the world, VI",,,,Molossidae,Tadarida,brasiliensis,Tadarida_brasiliensis,,,1,Yes,broken,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,to do,,,,?,adult,spine suspicious; head detached; uncertain if atlas is present; bone density threshold may be difficult to work with,Andrew,,,
Leptonycteris nivalis MCZ_48355,24,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Leptonycteris,nivalis,Leptonycteris_yerbabuenae,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,M,adult,spine suspicious; some lead shot clutters the caudal vertebrae,Andrew,,,
Syconycteris australis MCZ_28305,18.25,"Walker’s mammals of the world, VI",,,,Pteropodidae,Syconycteris,australis,Syconycteris_australis,,,1,Yes,broken,,1,Yes,1,Yes,broken,,1,Yes,,,Yes,,1,Yes,Yes,,,,M,adult,spine good,Andrew,,,
Chilonatalus micropus MCZ_16662,5.86,https://eol.org/pages/1038744/data,,,,Natalidae,Chilonatalus,micropus,Chilonatalus_micropus,1,Yes,,,1,Yes,broken,,broken,,1,Yes,,,1,Yes,Yes,,,,,open; landmarked; right,,,F,adult,"spine fused to ribs; strange; pregnant; very long legs, very long calcar hx file on andrew pc",Andrew,,,
MCZ_11276,,,,,,Hipposideridae,,,Hipposideros_speoris,,,,,,,,,,,,,,,,,,,,,,,,,,juvenile,"juvenile; unfused epiphyses; broken left wing, disarticulated sternum, spine appears well developed though; broken skull",Andrew,,,
MCZ_4934,,,,,,Rhinolophidae,,,Rhinolophus_hipposideros,,,,,,,,,,,,,,,,,,,,,,,,,,,not necessary; this bat has already been landmarked; spine good,Andrew,,,
Eumops absrasus MCZ_32895,23,"Walker’s mammals of the world, VI",,,,Molossidae,Eumops,abrasus,Eumops_auripendulus,1,Yes,broken ,,1,Yes,,,1,Yes,,,1,Yes,broken,,Yes,,1,in progress,,fused; broken; quality fixed,,,M,adult,spine good; threshold may be difficult to work with; numerous accessory sesamoids in a complex knee joint; ankle joint also complex and supported by a sesamoid,Andrew,,,
Harpiocephalus harpia MCZ_32973,19,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Harpiocephalus,harpia,Harpiocephalus_harpia,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,,,,,,,M,adult,spine bad; no head but atlas is present; there is a lot of clutter in the scan; I think the specific epithet should be harpia; unclear whether 2nd digit of wing possesses very short fourth phalanx ,Andrew,,,
Hypsignathus monstrosus CUMV_19701,420,"Walker’s mammals of the world, VI",,,,Pteropodidae,Hypsignathus,monstrosus,Hypsignathus_monstrosus,1,Yes,,,1,Yes,,,,,1,Yes,,,1,Yes,Yes,broken,,,,,,,M,adult,spine bad; numerous pieces of shot embedded across animal; skull broken; assembling handwing will be challenging; very narrow fused pelvis; male; sex used during mass estimate; prominent elbow cap; handwing difficult to landmark as it had many breaks; not yet backed up,Andrew,,,
check if desmodus MCZ spine is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros diadema CUMV_19113,42,"Walker’s mammals of the world, VI",,,,Hipposideridae,Hipposideros,diadema,Hipposideros_diadema,,,1,Yes,,,1,Yes,1,Yes,,,1,Yes,,,Yes,,,,,,,,M,adult,"spine good; however there is extensive fusion to ribs; prominent elbow caps; very distinctive flange on inside aspect of proximal tibia shaft, which is not captures by landmark scheme; skull is aesthetic and should perhaps be segmented for 3d printing",Andrew,,,
Scotophilus heathi CUMV_20893,34.6,https://eol.org/pages/1013564/data,,,,Vespertilionidae,Scotophilus,heathii,Scotophilus_heathii,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,open,,,F,adult,Pregnant with twins; slight rotational artefacts; spine good; foeti segmented,Andrew,,,
Molossus_molossus CUMV_19163,20,"Walker’s mammals of the world, VI",,,,Molossidae,Molossus,molossus,Molossus_molossus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,to do,,,,?,adult,"As in other molossids, the knee is braced by both the tibia and fibula; there is a long calcar; hx file is located in group 6 on the NAS; xiphoid pendant chipped",Andrew,,,
Peropteryx kappleri CUMV_19180,10,"Walker’s mammals of the world, VI",,,,Emballonuridae,Peropteryx,kappleri,Peropteryx_kappleri,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,1,Yes,,,,,?,adult,Sesamoid bones at each articular surface of humerus; long calcar; hx file is located in group 6 on the NAS,Andrew,,,
Plecotus macrotis CUMV_19529,12.5,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Plecotus,macrotis,Corynorhinus_townsendii,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,Scan quality low; Corynorhinus_townsendii substituted for ecological metadata; Plecotus macrotis is a deprecated species,Andrew,,,
Thyroptera discifera CUMV_20398,,,,,,Thyropteridae,Thyroptera,discifera,Thyroptera_discifera,,,1,,,,in progress,,,,to start,,,,to start,,to start,,,,,,,,,,Scan quality low; apologies; scan simply unworkable; 2 days expended; REDO,Andrew,,,
Peropteryx macrotis_CUMV_19179,5.6,"Walker’s mammals of the world, VI",,,,Emballonuridae,Peropteryx,macrotis,Peropteryx_macrotis,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,to do no avizo project on NAS,,,F,adult,Scan quality marginal; hx filed located in group 7 on NAS,Andrew,,,
Balantiopteryx plicata CUMV_20356,6.5,"Walker’s mammals of the world, VI",,,,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx_plicata,,,1,Yes,,,1,Yes,1,Yes,broken,,1,Yes,,,Yes,,,,,,,,?,adult,Scan quality marginal;  hx filed located in group 7 on NAS,Andrew,,,
Balantiopteryx io CUMV_20877,,,,,,Emballonuridae,,,Balantiopteryx_io,in progress,,,,,,to start,,to start,,,,to start,,,,to start,,,,,,,,,,Scan quality almost unworkable; REDO,Andrew,,,
Natalus stramineus CUMV_15563,7,"Walker’s mammals of the world, VI",,,,Natalidae,Natalus,stramineus,Natalus_stramineus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,Left first digit wing broken and rehealed; hx file located in group 4 on the NAS,Andrew,,,
Nycticeius humeralis CUMV_19155,9,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Nycticeius,humeralis,Nycticeius_humeralis,,,1,Yes,broken,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,M,adult,"Scan quality marginal; left handwing broken, so both hands were used in landmarking",Andrew,,,
CU_19111,,,,,,Vespertilionidae,,,Philetor_brachypterus,,,,,,,,,,,,,,,,,,,,,,,,,,,I think there has been movement during the scan; the scan appears unworkable; REDO,Andrew,,,
Rhinolophus lepidus CUMV_15567,5.7,https://eol.org/pages/328780/data,,,,Rhinolophidae,Rhinolophus,lepidus,Rhinolophus_lepidus,1,Yes,broken,,1,Yes,,,,,1,Yes,broken,,1,Yes,Yes,,,,,open; landmarked; right,,,F,adult,Group 4 on the NAS,Andrew,,,
Scotophilus leucogaster CUMV_20851,20.2,https://eol.org/pages/310391/data,,,,Vespertilionidae,Scotophilus,leucogaster,Scotophilus_leucogaster,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,broken and rehealed first digit on left hand; hx file is in group 8 on the NAS,Andrew,,,
Mormoops megalophylla CUMV_20393,16,https://eol.org/pages/317232/data,,,,Mormoopidae,Mormoops,megalophylla,Mormoops_megalophylla,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,prominent calcar; first finger phalanx distorted; hx file is in group 8 on the NAS,Andrew,,,
Ptenochirus jagori CUMV_19118,81.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Ptenochirus,jagori,Ptenochirus_jagori,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,,,,,,,M,subadult,possible healed break or cancer in second phalanx of third digit of left hand; some epiphyses in handwing are in process of fusion,Andrew,75,75,51.605985068501
Rousettus amplexicaudatus CUMV_19116,64.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Rousettus,amplexicaudatus,Rousettus_amplexicaudatus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,to do,open ligament fused; landmarked; right,to do,,M,subadult,epiphyses in process of fusion ,Andrew,75,80,59.1046428227147
Epomops franqueti CUMV_19740,195,"Walker’s mammals of the world, VI",,,,Pteropodidae,Epomops,franqueti,Epomops_franqueti,1,Yes,,,1,Yes,,,to start,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,"very strange large laryngeal morphology appears to be visible. Phalanx 1 of digit 5 on left handwing is swollen at its distal end, suggesting a healed break Right zygomatic is broken; right kneecap is underdeveloped; sexual masses available; second finger right wing broken so I am substituting the left",Andrew,75,75,78.9100574248949
Megaloglossus woermanni CUMV_16052,13.025,"Walker’s mammals of the world, VI",,,,Pteropodidae,Megaloglossus,woermanni,Megaloglossus_woermanni,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,M,adult,no kneecaps; poorly ossified mandible; sexed masses available,Andrew,65,85,52.9833104556932
Myotis grisescens CUMV_15505,10.5,https://eol.org/pages/327255/data,,,,Vespertilionidae,Myotis,grisescens,Myotis_grisescens,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,,to do,,,F,adult,note clear evidence bat hibernates; elbow cap,Andrew,65,85,52.9833104556932
Rhinolophus trifoliatus CUMV_22539,14.8,https://eol.org/pages/327230/data,,,,Rhinolophidae,Rhinolophus,trifoliatus,Rhinolophus_trifoliatus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,aspects of larynx visible in scan; possible healed break right handwing phalanx 1 finger 1,Andrew,60,80,51.9953415412428
Scotonycteris zenkeri CUMV_19407,22.75,"Walker’s mammals of the world, VI",,,,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris_zenkeri,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,,,,,,,M,subadult,,Andrew,60,80,51.9953415412428
Balionycteris maculata CUMV_22534,12,"Walker’s mammals of the world, VI",,,,Pteropodidae,Balionycteris,maculata,Balionycteris_maculata,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,hx file located on andrew pc looks female,Andrew,60,80,44.9139115951655
Myotis lucifugus CUMV_17094,7.6,https://eol.org/pages/327247/data,,,,Vespertilionidae,Myotis,lucifugus,Myotis_lucifugus,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,,,,,,,?,adult,hx file located on andrew pc looks male,Andrew,60,80,44.9139115951655
CU_20942,,,,,,Rhinolophidae,,,Rhinolophus_philippinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,bat too badly broken ,,,,
Myotis leibii CUMV_17154,5.22,https://eol.org/pages/327547/data,,,,Vespertilionidae,Myotis,leibii,Myotis_leibii,in progress,,1,Yes,,,1,Yes,1,Yes,,,1,Yes,,,Yes,,to do,,,,,,?,subadult,phalangeal epiphyses are incompletely fused; bullets have complicated segmentation,Andrew,65,75,54.8438689623758
Myotis horsfieldii CU_19112,6,https://eol.org/pages/327589/data,,,,Vespertilionidae,Myotis,horsfieldii,Myotis_horsfieldii,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,,,,,,,M,adult,hx file located on andrew pc,Andrew,65,75,54.8438689623758
Myotis keenii CUMV_21150,6.3,https://eol.org/pages/327248/data,,,,Vespertilionidae,Myotis,keenii,Myotis_keenii,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,hx file located on andrew pc looks male,Andrew,65,75,54.8438689623758
Promops centralis CUMV_20836,15.8,"Walker’s mammals of the world, VI",,,,Molossidae,Promops,centralis,Promops_centralis,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,subadult,digital epiphyses in process of fusion; elbow has multiple sesamoids and a cap; mass is from a male,Andrew,100,200,40.076
Nycteris javanica CUMV_22546,17.7,https://eol.org/pages/1038755/data,,,withered third phalanx finger III and third phalanx finger IV,Nycteridae,Nycteris,javanica,Nycteris_javanica,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,beautiful sternum; unusual skull; elbow caps,Andrew,85,200,20.023868
Nanonycteris veldkampi YPM_MAM_014567,26,"Walker’s mammals of the world, VI",,,,Pteropodidae,Nanonycteris,veldkampi,Nanonycteris_veldkampii,1,Yes,broken,,1,Yes,,,,,1,Yes,1,Yes,,,Yes,,,,,,,,?,adult,handwing reconstructed from broken fragments,Andrew,85,200,45.033
Megaerops ecaudatus MVZ_173803,29,"Walker’s mammals of the world, VI",,,potential remodelling of bone of finger IV phalanx 2,Pteropodidae,Megaerops,ecaudatus,Megaerops_ecaudatus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,M,adult,,Andrew,,,51.3463308162829
Paranyctimene raptor YPM_005629,22.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Paranyctimene,raptor,Paranyctimene_raptor,1,Yes,,,1,Yes,,,,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes; I replaced the clavicle curve,open,,,F,adult,"pregnant; prominent elbow caps, excellent sternum and spinal column",Andrew,,,39.1921
Pteropus vampyrus YPM_006026,,,,,,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO NOT SEGMENT; THIS IS CLEARLY NOT PTEROPUS ,Andrew,,,49.27371
CU_20440,,,,,,Rhinopomatidae,,,Rhinopoma_microphyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,no skeleton ,Andrew,,,
Chaerephon pumilus YPM 005519,11.3,https://eol.org/pages/328859/data,,,,Molossidae,Chaerephon,pumilus,Chaerephon_pumilus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,,Andrew,,,45.1902328830628
Myopterus daubentonii albatus AMNH M49228,18.45,https://eol.org/pages/328894/data,,,,Molossidae,Myopterus,daubentonii,Myopterus_daubentonii,broken,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,to do,,,F,adult,left handwing broken; flattened finger bones with oblate sockets,Andrew,,,29.9567
Molossops temminckii AMNH M249198,5.9,https://eol.org/pages/328868/data,,,withered first phalanx first finger left handwing; malformed claw thumb right handwing; distorted fourth finger right handwing,Molossidae,Molossops,temminckii,Molossops_temminckii,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,to do,,,F,adult,,,,,19.61595
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU_19114?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethalops alecto UMMZ 174565,19.3,"Walker’s mammals of the world, VI",,,,Pteropodidae,Aethalops,alecto,Aethalops_alecto,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,,open; in progress; left,,,F,adult,Pregnant,Andrew,,,
Haplonycteris fischeri UMMZ 157351,18.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Haplonycteris,fischeri,Haplonycteris_fischeri,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,F,subadult,phalangeal epiphyses have only just fused,Andrew,,,
Pteropus pumilus UMMZ 156775,194.2,https://eol.org/pages/327290/data,,,,Pteropodidae,Pteropus,pumilus,Pteropus_pumilus,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,open; ligament,,,M,subadult,pahalngeal epiphyses in process of fusion,Andrew,,,
Harpyionycteris whiteheadi UMMZ 161303,112.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Harpyionycteris,whiteheadi,Harpyionycteris_whiteheadi,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,F,adult,tibia is an outlier in PC space?,,,,
Penthetor lucasi UMMZ 174604,42.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Penthetor,lucasi,Penthetor_lucasi,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,F,subadult,subadult,Andrew,,,40.92
07_Myzopoda-aurita_mnhn-1985-654,9.1,https://eol.org/pages/1038742/data,,,,Myzopodidae,Myzopoda,aurita,Myzopoda_aurita,,,1,Yes,,,1,Yes,1,Yes,,,,,1,Yes,Yes,,,,,,,,M,subadult,subadult; sucker-footeds; fibula extends full length of tibia but does not integrate with knee,Andrew,,,24.0919
