Name,Mass (g) (not sexed),Source,Sex,Suborder,Handicap,Family,Genus,Species,Shi_match,r_humerus,Landmarked,l_humerus,Landmarked,r_radius,Landmarked,l_radius,Landmarked,r_tibia,Landmarked,l_tibia,Landmarked,r_femur,Landmarked,l_femur,Landmarked,Handwing,skull,Sternum,Landmarked,Verified,Pelvis,Landmarked,Verified,Sex,Lifestage,Notes,Author,kV,uA,um
Kerivoula_hardwickii_AMNH_247565,4.5,https://eol.org/pages/1001185/data,,,,Vespertilionidae,Kerivoula,hardwickii,Kerivoula_hardwickii,broken,,1,Yes,,,1,Yes,1,Yes,,,1,Yes,broken,,Yes,,broken,,,,,,M,adult,,Andrew,150,133,29.56414
Hipposideros_pratti_AMNH_56957,84.4,https://eol.org/pages/328263/data,,,possible injury or deformity on fifth and fourth digit first metacarpal,Hipposideridae,Hipposideros,pratti,Hipposideros_pratti,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes,open; landmarked; right,,,M?,adult,Scan threshold is very difficult to work with; very opaque and no gaps. Elbow caps. Very broad sternum with extensive muscle attachment sites. Pelvic iliopubic eminence loops round to join cranial lateral ridge of ilium. Landmarked placed on medially facing prominence of closure. ,Andrew,140,180,38.53539
Hesperoptenus_gaskelli_AMNH_226393,9.4,https://eol.org/pages/1001182/data,,,,Vespertilionidae,Hesperoptenus,gaskelli,Hesperoptenus_blanfordi,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes,,,,M,adult,,Andrew,100,130,27.21108
Glossophaga_soricina_AMNH_278707,10.5,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Glossophaga,soricina,,,,,,,,,,,,,,,,,,,,,,,,,,,,A plane of stitching crosses both humeral proximal articulations. Investigating. It is a duplication; I can remove it. It will slightly lengthen the radius bones though. I found another plane of stitching at the distal end of the humerus. At this point I believe it is best to re-scan this specimen.,Andrew,,,
Glischropus_tylopus_AMNH_247438,4,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Glischropus,tylopus,Glischropus_tylopus,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes,open; landmarked; right,,,F,adult,Stitching artifacts cross diaphyses of radius bones,Andrew,80,120,28.17305
Furipterus_horrens_AMNH_48309,3,"Walker’s mammals of the world, VI",,,,Furipteridae,Furipterus,horrens,Furipterus_horrens,,,,,,,,,,,,,,,,,,,,,,,,,,,Motion artifact,Andrew,,,
Eptesicus_serotinus_AMNH_233146,13,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Eptesicus,serotinus,Eptesicus_serotinus,,,,,,,,,,,,,,,,,,,,,,,,,,,Strange metal blobs on wings,Andrew,,,
Eptesicus_fuscus_AMNH_267809,22,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Eptesicus,fuscus,Eptesicus_fuscus,1,Yes,1,,1,Yes,do not use,,1,Yes,,,1,Yes,,,Yes,,broken,,,,,,M,subadult,Stitching artifact crosses diaphysis of right femur. Stitching displacement evident on diaphysis of left radius. Discontinued; artifact too large.,Andrew,160,160,27.05654
Enchisthenes_hartii_AMNH_268087,17.3,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Enchisthenes,hartii,Artibeus_hartii,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,1,Yes,Yes,,,,M,adult,No skull. Left tibia crossed by stitching artifact; not useable. Large lateral sesamoid on knee,Andrew,150,140,27.86621
Desmodus_rotundus_AMNH_278308,32.5,"Walker’s mammals of the world, VI",,,"(bifid third digit, wing)",Phyllostomidae,Desmodus,rotundus,Desmodus_rotundus,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes; 2 landmarks moved,,,,M,adult,"elbow caps, this bat has a bifid third digit",Andrew,160,150,31.90485
